Case #,Crime,Occurred (Averaged),Location
20-00093,Found Prop.: Found Property,2020-01-18 12:39,Memorial Stadium #140
20-00094,"IMP-22651 (p): VC; Impound Veh For Unlic, Susp Or Exp Dl",2020-01-18 15:32,Shattuck Av & Haste St
20-00095,OA Assist: Outside Agency Assist,2020-01-18 16:06,Tang Center
20-00096,626: Exclusion Order Issued,2020-01-18 21:08,Gpb Garage (Rev. 09/04/18)
20-00098,Caslty: Injury/Illness,2020-01-19 12:14,South Hall
20-00100,MP: Missing Person,2020-01-19 15:19,Tang Center
20-00101,Caslty: Injury/Illness,2020-01-19 17:35,2415 Bowditch St
20-00102,484: PC; Theft,2020-01-19 18:14,Hearst North Field (Rev. 09/04/18)
20-00103,3056: PC; Violation Parole: Felony 273.6: PC; Violate Court Order to Prevent Domestic Violence 1203.2: PC; Violation of Probation 626: Exclusion Order Issued 5150: WI; 72 Hour Mental Health Hold,2020-01-20 01:28,2100 Mlk Jr Wy; Berkeley Police Dept
20-00104,10-42: Welfare Check,2020-01-20 07:58,2151 Berkeley Wy
20-00105,532: PC; Obtain Money/Etc By False Pretenses [over $400] (Amended),2020-01-20 09:06,2400 Durant Av
20-00106,OABPD: Outside Assist - BPD,2020-01-20 10:33,6th Street NORTHBOUND University Av
20-00107,Caslty: Injury/Illness,2020-01-20 12:09,2038 Hearst Av
20-00108,"166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Violation of Probation 148 (A)(1): PC; Resist/Obstruct Police Officer, Etc 69 (A): PC; Obstruct/Resist Executive Officer",2020-01-20 11:55,2038 Hearst Av
20-00109,Caslty: Injury/Illness,2020-01-20 13:22,2038 Hearst Av
20-00110,Civil: Civil Information Report,2020-01-20 17:48,Cal Student Store
20-00112,Caslty: Injury/Illness,2020-01-20 23:41,2650 Durant Av #305; Unit-1 Slottman
20-00113,594 (A): PC; Vandalism [under $1000],2020-01-19 02:30,1608 4th St (Rev. 09/04/18)
20-00115,261: PC; Rape:not Specified 273.5 (A): PC; Inflict Corporal Injury On Spouse/Cohabitant 211: PC; Robbery:second Degree,2020-01-20 10:05,2650 Durant Av (Rev. 09/04/18)
20-00120,"OUT WRTM: Other Agency Warrant, Misd",2020-01-21 16:32,2495 Bancroft Wy
20-00121,487 (D)(1): PC; Grand Theft:auto,2020-01-21 17:45,Lower Sproul Garage
20-00122,484: PC; Petty Theft,2020-01-04 13:30,2400 Durant Av; Unit-3
20-00123,Caslty: Injury/Illness,2020-01-21 20:20,2220 Piedmont Av #502k; Haas Business School (Rev. 09/04/18)
20-00124,484: PC; Theft,2020-01-21 10:45,Memorial Stadium
20-00125,Lost Prop.: Lost Property,2019-12-15 00:00,Campus; Campus
20-00126,626: Exclusion Order Issued,2020-01-22 13:48,Doe Library
20-00127,626: Exclusion Order Issued,2020-01-22 16:28,Doe Library; Doe Library
20-00128,Lost Prop.: Lost Property,2020-01-22 16:59,Stanley Hall; Stanley Hall
20-00129,PRODAM: Property Damage,2020-01-22 17:00,Wheeler Hall #24
20-00130,TC-Injury: Traffic Collision Injury,2020-01-22 19:27,2223 Fulton St
20-00133,484 (A): PC; Theft,2020-01-18 02:12,Life Science Addition; Life Science Addition
20-00134,OTR VC: Other Vehicle Code Violation,2020-01-22 23:57,Bowditch St & Dwight Wy (Rev. 09/04/18)
20-00135,Caslty: Injury/Illness,2020-01-23 01:04,2601 Warring St; Ckc
20-00136,Caslty: Injury/Illness,2020-01-23 01:52,2650 Haste St; Unit-2 Loading Dock
20-00137,594: PC; Malicious Mischief/Vandalism,2020-01-16 04:06,Bancroft\fulton Lot
20-00138,OABPD: Outside Assist - BPD Found Prop.: Found Property,2020-01-23 08:24,2400 Bancroft Wy
20-00139,10-42: Welfare Check,2020-01-23 08:50,1995 University Av; Uc Ext/Pato
20-00140,484 G(A): PC; Theft By Forged/Invalid Access Card,2020-01-23 11:24,1608 4th St
20-00141,22651 (j): PC; Imp Illegally Parked No License Plate Or Registration,2020-01-23 12:37,2301 Bancroft Wy
20-00142,530.5 (A): PC; Get Credit/Etc Other's Id 484 (A): PC; Theft,2020-01-22 17:03,Pimentel Hall
20-00147,Found Prop.: Found Property,2020-01-23 18:43,Mlk
20-00148,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-01-23 19:45,Life Science Addition; Lsa
20-00149,459V-F: PC; Burglary Vehicle,2020-01-23 21:30,Dwinelle Lot; Dwinelle Lot
20-00150,459V-F: PC; Burglary Vehicle,2020-01-23 22:16,Dwinelle Lot; Dwinelle Lot
20-00151,594: PC; Malicious Mischief/Vandalism,2020-01-09 22:37,Ellsworth Parking Structure (Rev. 09/04/18)
20-00152,594: PC; Malicious Mischief/Vandalism,2020-01-23 22:57,2601 Warring St (Rev. 09/04/18)
20-00153,MISC: Miscellaneous Report,2020-01-23 18:30,University Av & Bonar St.
20-00154,459: PC; Burglary: Second Degree,2020-01-23 18:30,Frank Schlessinger Way
20-00155,415 (1)(3): PC; Fight/Challenge Fight/Offensive Words Public Pl,2020-01-24 13:40,Max Martinez; Max Martinez
20-00156,484 (A): PC; Petty Theft 530.5 (A): PC; Get Credit/Etc Other's Id,2020-01-23 21:00,Dwinelle Hall
20-00158,1203.2: PC; Violation of Probation 166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc,2020-01-24 22:20,Lower Sproul Garage; Lower Sproul Garage (Rev. 09/04/18)
20-00160,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended),2020-01-25 02:15,Valley Life Science Bldg
20-00161,MISC: Miscellaneous Report,2020-01-25 12:29,Uva
20-00162,459V-F: PC; Burglary Vehicle,2020-01-25 13:25,Bancroft Structure; Bancroft Structure
20-00163,Caslty: Injury/Illness,2020-01-25 23:13,2650 Durant Av (Rev. 09/04/18)
20-00164,20002: VC; Hit and Run,2020-01-25 02:25,Spieker Pz
20-00165,PRODAM: Property Damage,2020-01-26 06:33,1301 S. 46th Street
20-00166,148.4: PC; False Fire Alarm,2020-01-26 07:34,Upper Hearst Structure
20-00167,OA Assist: Outside Agency Assist OABPD: Outside Assist - BPD,2020-01-26 09:27,2100 Martin Luther King
20-00168,459V-F: PC; Burglary Vehicle,2020-01-26 14:43,Ellsworth Parking Structure Space #15
20-00169,Civil: Civil Information Report,2020-01-26 14:29,Shattuck Av & DELAWARE
20-00170,Caslty: Injury/Illness,2020-01-26 18:14,2301 Bancroft Wy
20-00171,485: PC; Appropriate Lost Property,2020-01-26 20:18,Mlk; Mlk (Rev. 09/04/18)
20-00172,MISC: Miscellaneous Report,2020-01-25 10:58,2199 Addison St
20-00173,459: PC; Burglary: First Degree,2020-01-27 08:23,Underhill Lot; Underhill Lot
20-00174,Lost Prop.: Lost Property,2020-01-11 20:00,Mulford Hall
20-00175,Lost Prop.: Lost Property,2020-01-21 21:00,2121 Berkeley Wy
20-00176,RULES: Rules Violation,2020-01-27 14:17,Mlk
20-00177,594: PC; Malicious Mischief/Vandalism,2020-01-27 15:06,2121 Allston Wy
20-00178,Lost Prop.: Lost Property,2020-01-27 16:15,537 Davis Hall
20-00179,3056: PC; Violation Parole: Felony 1203.2: PC; Violation of Probation 5150: WI; 72 Hour Mental Health Hold,2020-01-27 21:20,Bowditch St NORTH Dwight Wy (Rev. 09/04/18)
20-00180,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-01-27 23:06,2301 Bancroft Wy; Rec Sprt Fac
20-00181,Lost Prop.: Lost Property,2019-12-12 20:00,Haas Club Lot L
20-00182,Civil: Civil Information Report,2020-01-26 12:00,Campus
20-00183,148.4 (2): PC; False Fire Alarm (Amended),2020-01-28 12:51,Moffitt Library
20-00184,594 (A)(2): PC; Vandalism: Damage Property,2020-01-28 13:08,Uva
20-00185,530.5 (C)(1): PC; Possess Personal Identifying Info With Intent to Defraud,2020-01-28 13:45,Unknown
20-00190,484: PC; Theft,2020-01-28 14:30,Birge Hall #364
20-00191,594: PC; Malicious Mischief/Vandalism,2020-01-27 09:08,Structure C Tennis
20-00192,OABPD: Outside Assist - BPD,2020-01-28 21:07,3045 Shattuck Av #B
20-00193,459V-F: PC; Burglary Vehicle,2020-01-28 19:10,West Cr
20-00194,415: PC; Disturb The Peace,2020-01-28 22:01,420 KULA GULF WAY #303
20-00195,626: Exclusion Order Issued,2020-01-28 23:16,Gpb; Gpb (Rev. 09/04/18)
20-00196,RULES: Rules Violation,2020-01-29 06:29,Wellman Courtyard
20-00197,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-01-26 01:07,Gpb
20-00198,Civil: Civil Information Report,2020-01-29 07:49,Unknown
20-00199,484 G(B): PC; Theft:misrepresent As Access Card Holder,2020-01-29 10:51,Mcenerney Hall
20-00200,5150: WI; 72 Hour Mental Health Hold,2020-01-29 11:28,Li Ka Shing; Li Ka Shing
20-00201,626: Exclusion Order Issued,2020-01-29 11:54,Upper Sproul Pz
20-00203,484 (A): PC; Theft,2019-12-26 22:30,2415 Bowditch St; Crossroads
20-00204,484: PC; Theft,2020-01-29 14:20,4TH FLOOR Moffitt Library
20-00205,Caslty: Injury/Illness,2020-01-29 08:10,Addison St & Shattuck Av
20-00206,488: PC; Petty Theft,2020-01-29 14:57,1608 4th St
20-00207,10-42: Welfare Check,2020-01-29 12:34,530 Kinkead Wy #300
20-00208,Lost Prop.: Lost Property,2020-01-27 13:00,Campus; Campus (Rev. 09/04/18)
20-00209,626.6: PC; Nonstudent Refuse to Leave Campus (Amended),2020-01-29 23:16,Gpb (Rev. 09/04/18)
20-00210,Caslty: Injury/Illness,2020-01-30 09:57,5TH FLOOR Evans Hall
20-00211,484 (A): PC; Petty Theft,2020-01-30 00:30,2650 Haste St; Unit-2 Davidson
20-00213,626.6 (A): PC; Nonstudent Refuse to Leave Campus 1203.2: PC; Violation of Probation,2020-01-30 18:48,Gpb #Bathroom; Gpb
20-00214,211: PC; Robbery 182: PC; Criminal Conspiracy,2020-01-30 19:33,Lower Sproul Pz; Lower Sproul Pz
20-00215,242: PC; Battery,2020-01-30 21:17,Mlk (Rev. 09/04/18)
20-00216,"OUT WRTM: Other Agency Warrant, Misd",2020-01-31 01:16,West Crescent; West Crescent
20-00220,5150: WI; 72 Hour Mental Health Hold,2020-01-31 11:02,Tang Center
20-00221,Lost Prop.: Lost Property,2019-08-01 21:55,2220 Piedmont Av
20-00222,484: PC; Grand Theft,2020-01-31 12:34,2415 Dwight Wy
20-00223,243 (A): PC; Battery On Person,2020-01-31 12:13,Golden Bear Restaurant
20-00224,602.5: PC; Enter/Etc Noncommercial Dwelling,2020-01-31 12:26,2650 Haste St; Unit-2 Griffith
20-00225,Civil: Civil Information Report,2020-01-31 14:10,Lower Hearst Parking Structure (Rev. 09/04/18)
20-01172,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-07-01 12:15,1608 4th St; Css
20-01173,Found Prop.: Found Property,2020-07-01 13:12,2536 Channing Wy; Anna Head
20-01174,415 (2): PC; Disturb By Loud/Unreasonable Noise,2020-07-01 16:33,735 West End Wy; Uva-164
20-01175,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-07-01 21:35,West Crescent; West Crescent (Rev. 09/04/18)
20-01176,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-07-02 01:37,Valley Life Science Bldg; VLSB
20-01177,594 (A)(3): PC; Vandalism:destroy Other's Property,2020-07-02 01:20,2400 Bancroft Wy; Blackwell Hall
20-01178,242: PC; Battery,2020-07-02 09:20,1893 Leroy Av; Goldman School Of Public Policy
20-01179,Civil: Civil Information Report,2020-07-02 13:07,2120 Oxford; Berkeley Art Museum
20-01181,594 (A): PC; Vandalism,2020-07-02 20:05,2222 Bancroft Wy; Tang Center (Rev. 09/04/18)
20-01182,502 (C)(2): PC; Unauthorized Copy/Use Computer Data,2020-07-03 11:44,Campus; Campus
20-01184,OABPD: Outside Assist - BPD 240: PC; Assault 242: PC; Battery SUPP: Supplemental Reports,2020-07-03 21:36,2460 Bancroft Wy
20-01185,452: PC; Unlawfully Causing Fire,2020-07-03 21:32,Signpost-15; Signpost-15 (Rev. 09/04/18)
20-01186,626: Exclusion Order Issued 602: PC; Tresspassing,2020-07-04 13:25,1005 6th Street #105
20-01188,148.4: PC; False Fire Alarm,2020-07-04 22:24,2200 Bancroft Wy (Rev. 09/04/18)
20-01189,594: PC; Malicious Mischief/Vandalism,2020-07-05 00:44,Sproul Hall; Sproul Hall
20-01190,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-06-29 02:48,Barrows Hall; Barrows Hall (Rev. 09/04/18)
20-01192,OA Assist: Outside Agency Assist,2020-07-06 21:01,Kroeber Pz; Kroeber Pz (Rev. 09/04/18)
20-01194,10852: VC; Tamper With Vehicle,2020-07-07 06:34,Uva; Uva
20-01195,626: Exclusion Order Issued 415: PC; Disturb The Peace,2020-07-07 12:03,Obrien Hall; Obrien Hall
20-01196,422: PC; Threaten Crime W/Intent to Terrorize 240: PC; Assault OA Assist: Outside Agency Assist,2020-07-07 11:00,Stonewall-Panoramic Trail
20-01197,5150: WI; 72 Hour Mental Health Hold,2020-07-07 17:05,Lawrence Hall of Science; Lawrence Hall of Science
20-01198,12700 (B)(1): HS; Possess Gross Wght of Less Than 25 Pounds Dangerous Firework,2020-07-07 22:46,Campanile (Rev. 09/04/18)
20-01201,Lost Prop.: Lost Property,2020-07-07 13:30,400 Kearney St & 800 Liberty St
20-01202,261: PC; Rape:not Specified,2020-07-08 18:31,Grizzly Peak Bl
20-01203,452: PC; Unlawfully Causing Fire,2020-07-08 22:42,NW Anim Facil; NW Anim Facil (Rev. 09/04/18)
20-01204,594 (A)(3): PC; Vandalism:destroy Other's Property,2020-06-24 03:38,West Crescent; West Crescent
20-01205,10852: VC; Tamper With Vehicle,2020-07-08 18:00,2601 Warring St; Ckc
20-01207,484: PC; Theft,2020-07-09 14:40,Memorial Stadium; Memorial Stadium (Rev. 09/04/18)
20-01208,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-07-10 10:05,Springer Gateway; Springer Gateway
20-01209,PRODAM: Property Damage,2020-07-10 10:43,Moses Hall; Moses Hall
20-01210,484 (A)/488: PC; Theft Personal Property/Petty Theft,2020-07-03 10:00,670 Kula Gulf Wy #159 (Rev. 09/04/18)
20-01211,452: PC; Unlawfully Causing Fire,2020-07-11 00:58,Signpost-16; Signpost-16
20-01212,594: PC; Malicious Mischief/Vandalism,2020-07-11 04:47,Peoples Park; Peoples Park
20-01213,OALBNL: Outside Assist - LBNL,2020-07-11 04:51,Lbnl; Lbnl
20-01214,594 (A): PC; Vandalism [under $1000],2020-07-11 20:16,2195 Hearst Av; Warren Hall (Rev. 09/04/18)
20-01215,Caslty: Injury/Illness,2020-07-12 12:34,
20-01216,626.6: PC; Nonstudent Refuse to Leave Campus (Amended) 415: PC; Disturb The Peace,2020-07-12 15:35,Grinnell Path; Grinnell Path
20-01217,14601.2 (B): VC; Drive While License Restricted For Dui,2020-07-12 17:07,Durant Av & Fulton St
20-01218,11377 (A): HS; Possess Controlled Substance,2020-07-12 17:38,Durant Av & Fulton St
20-01220,211: PC; Robbery:second Degree,2020-07-12 18:34,Peoples Park; Peoples Park (Rev. 09/04/18)
20-01221,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-07-13 08:38,2175 Gayley Rd; Stadium Parking Structure
20-01222,594 (A): PC; Vandalism [under $1000],2020-07-13 12:23,Latimer Hall; Latimer Hall
20-01223,459: PC; Burglary: Second Degree,2020-07-13 21:45,Northgate Hall; Northgate Hall
20-01224,594: PC; Malicious Mischief/Vandalism,2020-07-13 21:23,Eucalyptus Grove; Eucalyptus Grove
20-01225,594: PC; Malicious Mischief/Vandalism,2020-07-13 21:16,Eucalyptus Grove; Eucalyptus Grove (Rev. 09/04/18)
20-01226,459V-F: PC; Burglary Vehicle,2020-07-12 12:12,Underhill Lot; Underhill Lot
20-01227,5150: WI; 72 Hour Mental Health Hold,2020-07-14 07:41,2539 Telegraph Av #601
20-01229,246: PC; Shoot At Inhabited Dwelling/Vehicle/Etc,2020-07-14 18:32,1111 Franklin St #10103; UCOP
20-01230,PRODAM: Property Damage INFO: Information Only Report,2020-07-14 20:00,Cheit Hall; Cheit Hall (Rev. 09/04/18)
20-01231,459V-F: PC; Burglary Vehicle,2020-07-15 05:21,2650 Durant Av; Unit-1 Loading Dock
20-01232,5150: WI; 72 Hour Mental Health Hold,2020-07-15 11:00,2214 Bancroft; Aquatic Center
20-01233,Caslty: Injury/Illness,2020-07-15 16:10,Hildebrand Hall; Hildebrand Hall (Rev. 09/04/18)
20-01234,INFO: Information Only Report,2020-07-16 00:36,Signpost-16; Signpost-16
20-01235,INFO: Information Only Report,2020-07-16 06:16,Edwards Track #11A; Edwards Track
20-01236,664/459: PC; Attempted Burglary: First Degree,2020-07-15 00:00,1040 Jackson St; Uva Community Center
20-01237,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-07-16 08:13,600 Gooding Wy #601
20-01238,Lost Prop.: Lost Property,2020-07-16 08:52,Bancroft Wy & Fulton St
20-01239,594: PC; Malicious Mischief/Vandalism,2020-07-16 11:56,Ellsworth Parking Structure; Structure C
20-01240,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-07-16 14:26,600 Gooding Wy; Uva-143
20-01241,245 (A)(1): PC; Force Or Adw Not Firearm:gbi Likely,2020-07-16 16:04,Peoples Park; Peoples Park
20-01242,314: PC; Indecent Exposure 626: Exclusion Order Issued,2020-07-16 18:52,Bancroft Wy & Telegraph Av
20-01243,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-07-16 20:17,415 Kula Gulf Wy (Rev. 09/04/18)
20-01244,5150: WI; 72 Hour Mental Health Hold,2020-07-17 01:17,670 Kula Gulf Wy #202
20-01245,TC-Non Injury: Traffic Collision Non Injury,2020-07-17 11:10,Valley Life Science Bldg; Valley Life Science Bldg
20-01246,Caslty: Injury/Illness,2020-07-17 14:43,Peoples Park; Peoples Park
20-01248,647 (I): PC; Disorderly Conduct:peek Into Inhabited Building,2020-07-13 00:30,2415 Dwight Wy #13 (Rev. 09/04/18)
20-01250,"OUT WRTM: Other Agency Warrant, Misd 415: PC; Disturb The Peace",2020-07-18 15:30,2220 Piedmont Av; Haas Business School
20-01251,594 (A): PC; Vandalism [under $1000],2020-07-18 18:17,Cesar Chavez Center #260A; Cesar Chavez Center
20-01252,594 (A)(1): PC; Maliciously Deface W/Paint/Etc 594: PC; Malicious Mischief/Vandalism,2020-07-18 21:36,Life Science Addition; Lsa (Rev. 09/04/18)
20-01253,Lost Prop.: Lost Property,2020-07-19 08:47,2121 Berkeley Wy; Bww
20-01254,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime] 21310: PC; Carry Concealed Dirk Or Dagger,2020-07-19 10:32,Lower Fire Tr; Lower Fire Tr
20-01255,INFO: Information Only Report,2020-07-19 05:30,755 Ohlone Av (Rev. 09/04/18)
20-01257,484: PC; Petty Theft,2020-07-20 04:19,Pimentel Hall
20-01258,PRODAM: Property Damage,2020-07-20 09:19,Grizzly Peak Gate; Grizzy Peak Gate
20-01259,459: PC; Burglary: First Degree,2020-07-20 03:49,Foothill Lot; Foothill Lot
20-01260,5150: WI; 72 Hour Mental Health Hold,2020-07-20 17:21,Spieker Pz; Spieker Pz (Rev. 09/04/18)
20-01261,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-07-21 02:54,Ellsworth Parking Structure; Structure C
20-01262,Lost Prop.: Lost Property,2020-05-13 01:00,Unknown Location
20-01264,"594 (A): PC; Vandalism [$5, 000 Or Over]",2020-07-21 13:12,Underhill Lot; Underhill Lot
20-01265,Lost Prop.: Lost Property,2016-02-01 00:01,Dwinelle Hall; Dwinelle Hall
20-01266,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-07-21 22:18,Strawberry Rec Center; Strawberry Rec Center (Rev. 09/04/18)
20-01267,5150: WI; 72 Hour Mental Health Hold,2020-07-22 01:22,Ucpd; Ucpd
20-01269,484 (A): PC; Theft,2020-07-22 11:39,735 West End Wy; Uva-164
20-01270,594: PC; Malicious Mischief/Vandalism,2020-07-19 05:15,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-01271,594 (A): PC; Vandalism [under $1000],2020-07-23 01:35,Peoples Park; Peoples Park
20-01274,10-42: Welfare Check,2020-07-23 21:58,2400 Durant Av; Unit-3 (Rev. 09/04/18)
20-01275,Caslty: Injury/Illness Deceased: Deceased Person,2020-07-24 01:43,Peoples Park; Peoples Park
20-01276,RULES: Rules Violation,2020-07-24 05:21,Uva; Uva
20-01277,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-07-24 17:04,735 West End Wy; Uva-164
20-01278,484 (A): PC; Theft,2020-07-24 17:25,Birge Hall; Birge Hall
20-01279,10852: VC; Tamper With Vehicle 484: PC; Theft,2020-07-24 16:45,2175 Gayley Rd; Stadium Parking Structure (Rev. 09/04/18)
20-01280,5150: WI; 72 Hour Mental Health Hold,2020-07-25 00:17,2424 Haste St; Rochdale Village
20-01281,MISC: Miscellaneous Report,2020-07-25 10:24,Lower Fire Tr; Lower Fire Tr (Rev. 09/04/18)
20-01282,594 (A): PC; Vandalism [under $1000],2020-07-25 20:32,1111 Franklin St; UCOP (Rev. 09/04/18)
20-01283,Caslty: Injury/Illness,2020-07-27 05:40,Lower Sproul Garage; Lower Sproul Garage
20-01284,Found Prop.: Found Property,2020-07-27 10:14,Space Sciences; Space Sciences
20-01285,594 (A)(2): PC; Vandalism: Damage Property 602 (M): PC; Trespass:drive On Private Property (Amended),2020-07-26 11:30,Fielding Field; Fielding Field
20-01286,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-07-27 23:27,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-01287,594 (A)(2): PC; Vandalism: Damage Property,2020-07-27 23:26,1301 S. 46th Street; RFS (Rev. 09/04/18)
20-01288,594 (A)(2): VC; Vandalism Less Than $400,2020-07-28 01:45,Zellerbach Hall; Zellerbach Hall
20-01290,484: PC; Petty Theft 594: PC; Malicious Mischief/Vandalism,2020-07-28 10:53,Underhill Lot; Underhill Lot
20-01291,MISC: Miscellaneous Report,2020-07-28 11:48,1200 Lakeshore Av (Rev. 09/04/18)
20-01296,Caslty: Injury/Illness,2020-07-28 23:00,Signpost-14; Signpost-14
20-01297,148.4: PC; False Fire Alarm,2020-07-29 02:22,Underhill Lot #Stair 3; Underhill Lot
20-01298,484 (A): PC; Petty Theft,2020-07-29 08:42,2121 Berkeley Wy; Bww
20-01299,415.5: PC; Disturb The Peace At College/University 422: PC; Threaten Crime W/Intent to Terrorize,2020-07-18 14:00,Botanical Gardens; Botanical Gardens
20-01300,459V-F: PC; Burglary Vehicle,2020-07-29 14:35,1020 Jackson St
20-01301,Lost Prop.: Lost Property,2019-10-29 15:28,Stanley Hall; Stanley Hall
20-01302,647 (H): PC; Disorderly Conduct:lodge W/O Consent (Amended),2020-07-29 19:30,2425 Atherton; Jones Child Care (Rev. 09/04/18)
20-01303,594 (A): PC; Vandalism [under $1000],2020-07-28 05:45,Barrows LANE
20-01304,PRODAM: Property Damage,2020-07-30 11:39,2450 Durant Av (Rev. 09/04/18)
20-01305,459V-F: PC; Burglary Vehicle,2020-07-30 11:06,2175 Gayley Rd; Stadium Parking Structure
20-01306,Caslty: Injury/Illness,2020-07-31 15:18,Peoples Park; Peoples Park
20-01307,OABPD: Outside Assist - BPD,2020-07-31 18:30,Ucpd; Ucpd (Rev. 09/04/18)
20-01025,594: PC; Malicious Mischief/Vandalism,2020-06-01 22:38,Simon Hall; Simon Hall (Rev. 09/04/18)
20-01026,MISC: Miscellaneous Report,2020-06-02 14:01,Ucpd; Ucpd
20-01027,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-06-02 23:22,Centennial Dr E Lower Fire Tr (Rev. 09/04/18)
20-01028,11364: HS; Possess Controlled Substance Paraphernalia 626: Exclusion Order Issued,2020-06-03 04:27,HARRISON & 6TH
20-01029,594 (A)(2): PC; Vandalism: Damage Property,2020-06-02 22:37,Gpb Garage; Gpb Garage
20-01030,PRODAM: Property Damage,2020-06-03 12:44,Blackberry Canyon Gate; Blackberry Canyon Gate
20-01032,Found Prop.: Found Property,2020-06-03 19:03,Ucpd; Ucpd
20-01033,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-06-03 11:23,Centennial Dr W Lower Fire Trail (Rev. 09/04/18)
20-01034,3056: PC; Violation Parole: Felony,2020-06-04 06:01,I House; I House
20-01035,484 G(A): PC; Theft By Forged/Invalid Access Card,2020-06-03 02:00,2650 Durant Av; Unit-1
20-01037,PRODAM: Property Damage,2020-06-03 13:00,Lower Sproul Garage; Lower Sproul Garage (Rev. 09/04/18)
20-01040,MISC: Miscellaneous Report,2020-06-05 11:30,Ucpd; Ucpd
20-01041,484 G(A): PC; Theft By Forged/Invalid Access Card,2020-06-05 11:42,2220 Piedmont Av
20-01042,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-05-03 15:30,Upper Hearst Structure; Upper Hearst Structure
20-01043,484: PC; Theft,2020-06-05 00:06,605 Ohlone Av #616 (Rev. 09/04/18)
20-01044,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-06-06 01:07,Sproul Hall; Sproul Hall
20-01045,TC-Non Injury - Traffic Accident Non Injury,2020-06-06 13:39,UVA
20-01046,Caslty: Injury/Illness,2020-06-06 20:12,Lower Sproul Garage; Lower Sproul Garage
20-01047,594: PC; Malicious Mischief/Vandalism,2020-06-06 23:17,Lower Sproul Pz; Lower Sproul Pz (Rev. 09/04/18)
20-01049,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-06-07 05:41,Doe Library; Doe Library
20-01050,OA Assist: Outside Agency Assist,2020-06-04 08:17,Signpost-16; Signpost-16
20-01051,148.4: PC; False Fire Alarm,2020-06-07 15:17,Mlk; Mlk
20-01052,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-06-07 19:47,Springer Gateway; Springer Gateway
20-01053,594: PC; Malicious Mischief/Vandalism,2020-06-07 19:54,Soda Hall; Soda HALL (Rev. 09/04/18)
20-01054,484 G: PC; Theft By Use of Access Card Information,2020-04-21 00:01,Valley Life Science Bldg; VLSB
20-01055,594 (A): PC; Vandalism,2020-06-08 20:42,Haas Pavilion; Haas Pavilion
20-01056,594: PC; Malicious Mischief/Vandalism,2020-06-08 23:03,Alumni House; Alumni House (Rev. 09/04/18)
20-01057,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-06-09 00:03,California Hall; California Hall
20-01058,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-06-09 00:24,Leconte Hall; Leconte Hall
20-01059,594: PC; Malicious Mischief/Vandalism,2020-06-09 00:27,Zellerbach Playhouse; Zellerbach Playhouse
20-01060,594 (A)(2): VC; Vandalism Less Than $400,2020-06-09 00:46,Wellman Hall; Wellman Hall
20-01061,594: PC; Malicious Mischief/Vandalism,2020-06-09 02:33,Northgate Hall; Northgate Hall
20-01062,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-06-09 06:35,Valley Life Science Bldg; Valley Life Science Bldg
20-01063,594: PC; Malicious Mischief/Vandalism,2020-06-09 09:41,Univ House; Univ House
20-01064,Lost Prop.: Lost Property,2020-06-07 16:00,2717 Alcatraz Ave (Rev. 09/04/18)
20-01070,664/487: PC; Attempt Grand Theft,2020-06-10 01:07,2650 Durant Av; Unit-1
20-01071,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-06-10 10:50,Univ House; CX
20-01072,10-42: Welfare Check,2020-06-10 14:38,ILLINOIS (Rev. 09/04/18)
